,whisky_id,link,image,name,avr_rating,category,location,total_rating,price_tier,abv,cask_type,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
3481,3482,/spirits/eastside-distilling-marionberry-whiskey,"https://ip-distiller.imgix.net/images/spirits/9d792d20-752e-0133-7aa1-6ed5812f0137/eastsideberry_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Eastside Marionberry Whiskey,6.92,Flavored Whiskey,"Oregon, USA",12.0,2,30.0,,0,0,20,30,50,50,70,40,0,20,100,80,30
3482,3483,/spirits/charred-oak-bourbon,"https://ip-distiller.imgix.net/images/spirits/daf773ce-f58c-48f3-b9bc-eab4cdea93d9/charred_oak_bourbon_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Charred Oak Bourbon,6.86,Bourbon,"Wisconsin, USA",14.0,2,50.0,"new, charred American oak",30,0,50,60,20,60,60,60,0,30,40,70,20
3483,3484,/spirits/bell-s-original,"https://ip-distiller.imgix.net/images/spirits/4951c0c0-0b1d-0133-5491-72cf5a29fcbc/bell%2527s-original-blended-scotch-whisky_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bell's Original,4.53,Blended,Scotland,197.0,1,40.0,,10,0,25,10,10,35,35,40,0,40,35,25,0
3484,3485,/spirits/highspire-whiskey,"https://ip-distiller.imgix.net/images/spirits/7ae21fd0-fd9f-0132-5d3d-4aa724b2e8f0/highspire-pure-rye-whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Highspire Whiskey,4.53,Other Whiskey,"Kentucky, USA",17.0,2,40.0,used California wine casks,0,0,60,40,70,20,0,10,0,10,10,30,30
3485,3486,/spirits/old-crow-bourbon,"https://ip-distiller.imgix.net/images/spirits/93b43790-8bb0-0132-ad00-3e18f3efae4e/old-crow-bourbon_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Old Crow Kentucky Straight Bourbon,4.91,Bourbon,USA,242.0,1,40.0,"new, charred American oak",0,0,40,30,0,30,30,70,0,60,50,60,20
3486,3487,/spirits/cody-road-bourbon,"https://ip-distiller.imgix.net/images/spirits/ca479b30-2e14-0132-3b4a-72e186a64910/cody_road_bourbon_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Cody Road Bourbon,5.4,Bourbon,"Iowa, USA",89.0,2,45.0,"new, charred American oak",40,0,62,78,0,72,63,84,0,68,55,73,71
3487,3488,/spirits/redemption-barrel-proof-10-year-straight-rye-2017-edition,"https://ip-distiller.imgix.net/images/spirits/c30f6ee0-8c47-0135-7f96-1a2daa04f0e2/redemption_rye_10_2017_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Redemption Barrel Proof 10 Year Straight Rye (2017 Edition),7.87,Rye,"Indiana, USA",23.0,4,58.1,"new, charred American oak   ",15,0,20,95,30,35,20,20,10,20,0,10,15
3488,3489,/spirits/rebel-yell-root-beer-whiskey,"https://ip-distiller.imgix.net/images/spirits/e7a83d40-e7c9-0133-6d8c-7690993a3c14/rebel_yell_root_beer_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Rebel Yell Root Beer Whiskey (Discontinued),5.72,Flavored Whiskey,USA,25.0,1,35.0,,0,0,30,0,45,15,35,100,10,90,0,20,0
3489,3490,/spirits/white-oak-akashi-single-malt,"https://ip-distiller.imgix.net/images/spirits/e87e1780-e3eb-0133-5e80-424620b9c097/white_oak_akashi_single_malt_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",White Oak Akashi Single Malt,6.4,Peated Single Malt,Japan,122.0,4,46.0,Ex-bourbon and Ex-sherry,70,65,70,60,20,5,5,50,5,40,30,50,20
3490,3491,/spirits/seagram-s-100-pipers-blended-scotch,"https://ip-distiller.imgix.net/images/spirits/2491f890-e165-0133-ff4c-5ec40ef4193f/seagrams_100_pipers_blended_scotch_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Seagram's 100 Pipers Blended Scotch,4.77,Blended,Scotland,47.0,1,40.0,oak,20,5,0,5,30,40,5,35,0,55,0,15,0
