,whisky_id,category,price_tier,abv,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
2716,2716,2,4,0.4600000000000001,0.0,0.0,0.7000000000000001,0.9,0.1,0.5,0.3,0.5,0.0,0.7000000000000001,0.3,0.6,0.5263157894736842
2717,2717,5,2,0.26,0.1,0.05,0.4,0.3,0.35000000000000003,0.35000000000000003,0.3,0.45,0.05555555555555556,0.4,0.15,0.2,0.15789473684210525
2718,2718,5,3,0.6414000000000001,0.6,0.0,0.7000000000000001,0.0,0.4,0.6,0.5,0.75,0.0,0.45,0.2,0.45,0.3157894736842105
2719,2719,5,2,0.3500000000000001,0.1,0.0,0.4,0.05,0.03,0.8,0.7000000000000001,0.6,0.0,0.15,0.1,0.3,0.10526315789473684
2720,2720,15,3,0.32000000000000006,0.0,0.0,0.35000000000000003,0.1,0.4,0.3,0.3,0.4,0.0,0.35000000000000003,0.15,0.25,0.21052631578947367
2721,2721,5,2,0.33000000000000007,0.2,0.0,0.35000000000000003,0.35000000000000003,0.2,0.45,0.45,0.55,0.0,0.35000000000000003,0.3,0.45,0.0
2722,2722,15,4,0.3400000000000001,0.1,0.0,0.8,0.9,0.0,0.6,0.7000000000000001,0.5,0.0,0.7000000000000001,0.0,0.4,0.3157894736842105
2723,2723,5,2,0.28,0.5,0.0,0.6,0.1,0.2,0.5,0.3,0.4,0.11111111111111112,0.7000000000000001,0.0,0.2,0.0
2724,2724,15,3,0.20000000000000007,0.05,0.0,0.25,0.15,0.2,0.2,0.25,0.35000000000000003,0.0,0.25,0.1,0.15,0.05263157894736842
2725,2725,4,3,0.32000000000000006,0.75,0.05,0.25,0.25,0.15,0.15,0.45,0.65,0.0,0.55,0.75,0.85,0.42105263157894735
2726,2726,15,2,0.20000000000000007,0.0,0.0,0.2,0.1,0.1,0.3,0.35000000000000003,0.45,0.0,0.4,0.15,0.25,0.10526315789473684
2727,2727,12,3,0.30000000000000004,0.5,0.3,0.25,0.1,0.6,0.45,0.2,0.4,0.11111111111111112,0.1,0.3,0.3,0.10526315789473684
2728,2728,5,2,0.3500000000000001,0.0,0.0,0.4,0.0,0.45,0.65,0.4,0.45,0.0,0.35000000000000003,0.0,0.2,0.0
2729,2729,9,1,0.20000000000000007,0.0,0.0,0.1,0.0,0.15,0.25,0.25,0.4,0.0,0.35000000000000003,0.1,0.1,0.10526315789473684
2730,2730,5,3,0.6880000000000001,0.0,0.0,0.5,0.0,0.1,0.3,0.7000000000000001,0.15,0.0,0.2,0.2,0.0,0.0
2731,2731,4,3,0.32000000000000006,0.1,0.0,0.2,0.3,0.2,0.15,0.1,0.3,0.22222222222222224,0.25,0.3,0.4,0.3157894736842105
2732,2732,15,3,0.5500000000000002,0.2,0.0,0.3,0.1,0.2,0.35000000000000003,0.5,0.3,0.0,0.65,0.1,0.2,0.2631578947368421
2733,2733,9,2,0.268,0.05,0.0,0.3,0.5,0.4,0.35000000000000003,0.35000000000000003,0.65,0.05555555555555556,0.3,0.35000000000000003,0.4,0.42105263157894735
2734,2734,13,2,0.26,0.1,0.0,0.6,0.4,0.4,0.35000000000000003,0.45,0.4,0.05555555555555556,0.45,0.4,0.1,0.21052631578947367
2735,2735,15,2,0.32000000000000006,0.1,0.0,0.35000000000000003,0.0,0.1,0.3,0.4,0.3,0.0,0.45,0.0,0.0,0.10526315789473684
2736,2736,15,3,0.26,0.0,0.0,0.25,0.2,0.3,0.4,0.35000000000000003,0.15,0.0,0.15,0.3,0.55,0.3684210526315789
2737,2737,4,2,0.33599999999999997,0.0,0.0,0.35000000000000003,0.15,0.25,0.35000000000000003,0.35000000000000003,0.55,0.0,0.45,0.1,0.2,0.05263157894736842
2738,2738,4,4,0.26,0.25,0.05,0.35000000000000003,0.1,0.45,0.5,0.35000000000000003,0.45,0.05555555555555556,0.4,0.15,0.45,0.3157894736842105
2739,2739,1,2,0.20000000000000007,0.15,0.0,0.2,0.3,0.45,0.45,0.45,0.65,0.0,0.3,0.3,0.3,0.3157894736842105
2740,2740,13,2,0.386,0.1,0.0,0.4,0.3,0.2,0.25,0.3,0.25,0.05555555555555556,0.2,0.4,0.2,0.15789473684210525
2741,2741,12,2,0.20000000000000007,0.1,0.4,0.35000000000000003,0.05,0.4,0.35000000000000003,0.3,0.3,0.2777777777777778,0.35000000000000003,0.05,0.15,0.05263157894736842
2742,2742,12,4,0.236,0.35000000000000003,0.35000000000000003,0.3,0.15,0.15,0.35000000000000003,0.35000000000000003,0.3,0.0,0.15,0.25,0.0,0.0
2743,2743,15,3,0.3400000000000001,0.05,0.05,0.15,0.0,0.25,0.25,0.25,0.2,0.0,0.4,0.0,0.25,0.0
2744,2744,12,3,0.41200000000000003,0.7000000000000001,0.5,0.1,0.1,0.2,0.3,0.4,0.5,0.22222222222222224,0.2,0.0,0.55,0.0
2745,2745,12,3,0.26,0.55,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.8333333333333334,0.4,0.2,0.75,0.21052631578947367
2746,2746,5,3,0.3500000000000001,0.45,0.0,0.65,0.15,0.15,0.45,0.45,0.6,0.0,0.45,0.3,0.25,0.10526315789473684
2747,2747,15,4,0.4,0.1,0.05,0.2,0.1,0.4,0.45,0.65,0.55,0.11111111111111112,0.6,0.65,0.5,0.21052631578947367
2748,2748,5,2,0.278,0.1,0.0,0.6,0.7000000000000001,0.2,0.5,0.6,0.6,0.0,0.6,0.5,0.7000000000000001,0.10526315789473684
2749,2749,5,2,0.39,0.1,0.0,0.9500000000000001,0.1,0.2,0.8,0.75,0.65,0.0,0.7000000000000001,0.0,0.6,0.15789473684210525
2750,2750,7,2,0.45000000000000007,0.0,0.0,0.65,0.75,0.7000000000000001,0.6,0.3,0.8,0.22222222222222224,0.45,0.0,0.5,0.2631578947368421
2751,2751,19,2,0.25,0.15,0.0,0.1,0.2,0.1,0.3,0.4,0.5,0.0,0.15,0.15,0.0,0.10526315789473684
2752,2752,6,1,0.20000000000000007,0.3,0.0,0.55,0.0,0.1,0.35000000000000003,0.4,0.5,0.0,0.4,0.2,0.55,0.21052631578947367
2753,2753,12,2,0.31599999999999995,0.75,0.7000000000000001,0.7000000000000001,0.6,0.4,0.4,0.45,0.75,0.6666666666666667,0.55,0.2,0.5,0.21052631578947367
2754,2754,5,2,0.32000000000000006,0.3,0.0,0.4,0.2,0.5,0.5,0.6,0.5,0.0,0.6,0.0,0.4,0.0
2755,2755,9,2,0.20000000000000007,0.35000000000000003,0.0,0.35000000000000003,0.1,0.1,0.4,0.4,0.75,0.0,0.55,0.2,0.3,0.0
2756,2756,5,4,0.7280000000000001,0.1,0.0,0.9,0.2,0.85,0.8,0.8,0.99,0.0,0.75,0.0,0.75,0.15789473684210525
2757,2757,20,2,0.4,0.05,0.0,0.25,0.05,0.1,0.1,0.15,0.15,0.05555555555555556,0.0,0.0,0.15,0.15789473684210525
2758,2758,1,1,0.20000000000000007,0.4,0.0,0.4,0.2,0.1,0.4,0.5,0.6,0.0,0.5,0.2,0.45,0.21052631578947367
2759,2759,6,2,0.20000000000000007,0.3,0.0,0.35000000000000003,0.2,0.1,0.3,0.4,0.55,0.0,0.55,0.15,0.55,0.3157894736842105
2760,2760,9,3,0.20000000000000007,0.0,0.0,0.2,0.3,0.2,0.15,0.2,0.35000000000000003,0.0,0.3,0.2,0.15,0.21052631578947367
2761,2761,0,2,0.26,0.3,0.0,0.3,0.1,0.4,0.41000000000000003,0.3,0.3,0.11111111111111112,0.41000000000000003,0.1,0.2,0.0
2762,2762,12,3,0.32000000000000006,0.75,0.6,0.75,0.5,0.2,0.4,0.6,0.3,0.3888888888888889,0.5,0.2,0.6,0.10526315789473684
2763,2763,12,3,0.30000000000000004,0.15,0.45,0.55,0.35000000000000003,0.2,0.4,0.44,0.5,0.16666666666666669,0.25,0.3,0.35000000000000003,0.0
2764,2764,9,3,0.28400000000000014,0.35000000000000003,0.0,0.45,0.0,0.4,0.7000000000000001,0.8,0.85,0.11111111111111112,0.8,0.0,0.2,0.0
2765,2765,0,3,0.36,0.2,0.0,0.25,0.15,0.1,0.7000000000000001,0.7000000000000001,0.6,0.0,0.2,0.1,0.5,0.21052631578947367
2766,2766,20,2,0.30000000000000004,0.5,0.05,0.25,0.1,0.0,0.3,0.3,0.15,0.0,0.15,0.05,0.35000000000000003,0.21052631578947367
2767,2767,1,2,0.26,0.0,0.0,0.4,0.4,0.5,0.5,0.5,0.4,0.0,0.2,0.1,0.4,0.3157894736842105
2768,2768,15,2,0.32000000000000006,0.0,0.0,0.2,0.1,0.35000000000000003,0.3,0.4,0.25,0.0,0.3,0.2,0.25,0.10526315789473684
2769,2769,15,3,0.32000000000000006,0.0,0.0,0.6,0.3,0.4,0.4,0.4,0.4,0.0,0.4,0.3,0.5,0.42105263157894735
2770,2770,7,1,0.30000000000000004,0.0,0.0,0.6,0.0,0.0,0.45,0.0,0.55,0.0,0.4,0.0,0.35000000000000003,0.0
2771,2771,5,3,0.624,0.0,0.0,0.8,0.0,0.75,0.7000000000000001,0.85,0.85,0.0,0.55,0.0,0.9,0.0
2772,2772,15,4,0.26,0.0,0.0,0.55,0.45,0.2,0.55,0.2,0.5,0.0,0.6,0.65,0.7000000000000001,0.42105263157894735
