,cost_rank,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,salty,vanilla,tart,fruity,floral
966,3.0,15.0,0.0,90.0,25.0,50.0,75.0,60.0,85.0,15.0,70.0,15.0,75.0,20.0
967,2.0,10.0,0.0,5.0,0.0,0.0,15.0,20.0,75.0,0.0,10.0,0.0,100.0,10.0
968,5.0,30.0,10.0,50.0,10.0,20.0,60.0,80.0,60.0,20.0,50.0,30.0,50.0,30.0
969,5.0,20.0,10.0,30.0,5.0,10.0,70.0,70.0,60.0,0.0,30.0,5.0,40.0,10.0
970,4.0,75.0,75.0,70.0,50.0,30.0,60.0,60.0,40.0,50.0,40.0,40.0,65.0,20.0
971,3.0,30.0,0.0,30.0,50.0,40.0,50.0,40.0,50.0,0.0,40.0,30.0,50.0,25.0
972,3.0,60.0,85.0,45.0,20.0,30.0,50.0,55.0,40.0,40.0,20.0,30.0,65.0,15.0
973,4.0,30.0,0.0,70.0,20.0,60.0,50.0,50.0,50.0,0.0,40.0,10.0,40.0,30.0
974,5.0,10.0,0.0,15.0,10.0,15.0,80.0,80.0,70.0,5.0,40.0,10.0,60.0,10.0
975,4.0,10.0,0.0,5.0,15.0,5.0,60.0,60.0,50.0,0.0,40.0,0.0,30.0,20.0
976,3.0,35.0,20.0,10.0,35.0,20.0,30.0,20.0,40.0,5.0,25.0,10.0,20.0,10.0
977,5.0,85.0,95.0,65.0,50.0,30.0,55.0,75.0,50.0,50.0,50.0,60.0,20.0,35.0
978,2.0,20.0,0.0,40.0,30.0,40.0,50.0,50.0,55.0,10.0,40.0,20.0,55.0,20.0
979,3.0,50.0,0.0,55.0,30.0,20.0,60.0,60.0,45.0,5.0,50.0,30.0,50.0,25.0
980,2.0,50.0,0.0,55.0,10.0,25.0,60.0,60.0,60.0,0.0,50.0,25.0,60.0,35.0
981,2.0,10.0,0.0,30.0,0.0,5.0,70.0,70.0,80.0,0.0,40.0,20.0,50.0,5.0
982,4.0,10.0,0.0,20.0,30.0,40.0,50.0,40.0,40.0,20.0,40.0,10.0,50.0,60.0
983,3.0,30.0,0.0,50.0,20.0,10.0,60.0,55.0,50.0,0.0,30.0,30.0,60.0,60.0
984,5.0,0.0,0.0,60.0,20.0,30.0,60.0,80.0,70.0,0.0,10.0,20.0,100.0,20.0
985,2.0,20.0,0.0,60.0,0.0,10.0,60.0,50.0,40.0,0.0,50.0,0.0,40.0,0.0
986,3.0,10.0,0.0,5.0,20.0,5.0,50.0,50.0,70.0,10.0,40.0,30.0,60.0,25.0
987,5.0,10.0,0.0,25.0,15.0,15.0,40.0,45.0,35.0,15.0,10.0,55.0,85.0,20.0
988,2.0,10.0,0.0,50.0,30.0,20.0,50.0,60.0,50.0,0.0,60.0,40.0,50.0,40.0
989,3.0,15.0,0.0,90.0,40.0,10.0,40.0,40.0,45.0,5.0,25.0,50.0,45.0,60.0
990,2.0,60.0,0.0,65.0,50.0,10.0,80.0,80.0,70.0,10.0,60.0,0.0,40.0,30.0
991,3.0,20.0,0.0,30.0,0.0,20.0,60.0,70.0,60.0,0.0,60.0,10.0,40.0,10.0
992,2.0,15.0,10.0,20.0,0.0,40.0,50.0,50.0,35.0,0.0,30.0,0.0,25.0,0.0
